year,n_teams,rpg,era_era,n_players,avg_war,std_war
1920,29,8.417823700355182,3.3793103448275863,512,1.023203125,2.1803221304913576
1921,29,9.78186350888127,4.185862068965517,523,1.2864627151051624,2.0748823333774764
1922,30,9.8858934169279,4.353,551,1.0623411978221413,1.9895904009047645
1923,32,10.150045194335643,4.0453125,603,0.9238640132669982,1.9201986750272895
1924,33,9.799309948246119,4.306363636363637,646,0.841532507739938,1.7317512679309255
1925,32,10.26267152058247,4.781875,641,0.9655538221528862,1.7412704720589145
1926,32,9.5146804835924,4.41625,622,0.8308681672025723,1.6738478774642704
1927,31,9.59073143495254,4.237096774193549,618,0.9177669902912622,1.7376945542214344
1928,31,9.903265557609366,4.447741935483871,609,0.7842200328407225,1.6876283842564468
1929,29,10.682380671773718,4.722758620689654,591,0.9654145516074449,1.8757557904702857
1930,28,10.88854961832061,4.874642857142858,566,0.9743462897526503,1.9460155381089408
1931,27,9.328172332547963,4.082962962962963,525,0.7250285714285714,1.7037618484415646
1932,38,9.700031377470976,4.2813513513513515,594,0.6858585858585858,1.7220529789358225
1933,27,9.094353109363832,3.9940740740740743,493,0.7009330628803245,1.6865603199974764
1934,27,9.708096590909092,4.605185185185184,491,0.8445824847250509,1.8415656545502577
1935,26,9.662860980523842,4.51576923076923,509,0.8523182711198428,1.767900164882701
1936,25,10.173883161512027,4.6816,505,0.914,2.033134709268362
1937,30,9.290181363352096,4.636333333333334,580,0.6988448275862069,1.9032334662364891
1938,30,9.332480818414322,4.574,572,0.6242132867132868,1.873662953978682
1939,30,9.163838120104439,4.391666666666667,585,0.5717435897435897,1.7777126780354724
1940,29,9.386092715231788,4.382413793103449,564,0.6788829787234042,1.7688240548181628
1941,28,8.90818363273453,4.045714285714285,560,0.6157857142857144,1.8068433093926997
1942,28,8.499322493224932,3.7721428571428572,565,0.5633451327433628,1.621633871858914
1943,29,8.072727272727272,3.813103448275862,585,0.5401025641025642,1.6753977210528752
1944,28,7.747355320472931,3.73,558,0.6555734767025089,1.881220700034846
1945,28,7.991623711340206,3.8674999999999997,599,0.5431051752921536,1.7564819393608722
1946,28,7.600863664404688,3.8875,606,0.5335643564356436,1.7164222356089207
1947,28,7.986325802615934,4.2225,588,0.575561224489796,1.7248027884186727
1948,28,8.12885662431942,4.299285714285714,560,0.5780535714285715,1.7775117673288658
1949,16,9.214516129032258,4.12375,410,0.7275365853658537,1.9065082279792591
1950,16,9.703554119547658,4.36375,402,0.7891044776119402,1.9758813038016905
1951,16,9.094430992736077,4.044375,414,0.6819806763285025,1.7996380964171808
1952,16,8.35270379338176,3.7043749999999998,425,0.6296235294117648,1.6554459438562066
1953,16,9.214516129032258,4.13875,404,0.8763366336633662,1.8821377807829784
1954,16,8.752627324171382,3.90125,409,0.8236674816625916,1.9280634516203763
1955,16,8.97001620745543,3.99875,438,0.5997488584474886,1.7788516546060842
1956,16,8.90314769975787,3.9675,427,0.6565807962529274,1.8767302551555634
1957,16,8.612145748987855,3.83625,422,0.7350473933649289,1.7407968723310756
1958,16,8.565182186234818,3.86,437,0.720091533180778,1.7032953734502831
1959,16,8.766558966074314,3.908125,436,0.7475,1.8767943904189521
1960,16,8.627831715210355,3.818125,433,0.7643187066974596,1.7384328191533416
1961,18,9.05034965034965,4.028888888888889,481,0.9007484407484407,2.1445708246646396
1962,20,8.921036397285626,3.9580000000000006,546,0.9951098901098899,2.03636492259952
1963,20,7.893761581222977,3.46,533,0.9697748592870544,2.029226756035872
1964,20,8.071340713407134,3.584000000000001,535,1.0806355140186918,2.148238797816541
1965,20,7.976586568083795,3.5010000000000003,540,1.0226111111111111,2.1248671761755777
1966,20,7.987616099071207,3.5220000000000007,538,1.0890892193308552,2.1172868577988155
1967,20,7.537037037037037,3.3055,558,1.0025448028673833,2.2612520111154484
1968,20,6.836307692307693,2.983,549,0.9762112932604737,2.4684269494778905
1969,24,8.14491264131552,3.6108333333333333,654,0.9037614678899082,2.2020035936912974
1970,24,8.683127572016462,3.8820833333333336,667,0.8799100449775112,2.080250257309703
1971,24,7.777605779153767,3.4637499999999997,673,0.7562852897473997,2.0071946163769105
1972,24,7.372781065088757,3.2587500000000005,652,0.7088957055214724,2.0049518593681963
1973,24,8.42820380854349,3.7395833333333335,660,0.8378636363636364,2.089747095997759
1974,24,8.24987146529563,3.6179166666666664,665,0.8290676691729322,2.028891553700948
1975,24,8.42554291623578,3.700833333333333,661,0.8601059001512859,2.016364449902044
1976,24,7.98968540484786,3.510833333333333,666,0.8444294294294296,1.9748320317583776
1977,26,8.941036614360437,3.9915384615384615,731,0.9810396716826265,2.1420404463423344
1978,26,8.206945765937203,3.676923076923077,716,0.8582122905027934,1.9717751441798266
1979,26,8.919447092469017,3.992692307692308,732,0.9109426229508196,2.026398977866107
1980,26,8.576247030878859,3.8357692307692304,757,0.863883751651255,1.9004704867807158
1981,26,7.996413199426112,3.5819230769230765,687,0.6237845705967976,1.289981445002072
1982,26,8.59515899383009,3.8561538461538465,757,0.8178203434610304,1.9827004137397555
1983,26,8.615457562825984,3.8615384615384616,744,0.8741935483870967,1.851000644636715
1984,26,8.51353919239905,3.8061538461538458,758,0.8520844327176782,1.8900891155509876
1985,26,8.661911554921542,3.893076923076923,768,0.8582291666666667,2.0142191384021335
1986,26,8.818354731336186,3.964230769230769,766,0.9332114882506526,1.9339780871273498
1987,26,9.445605700712589,4.284230769230769,780,0.9694871794871796,2.1183046588164034
1988,26,8.276190476190477,3.7284615384615383,767,0.9130117340286832,2.0396884978519254
1989,26,8.264482431149098,3.7057692307692305,781,0.9090396927016646,1.9590916196195356
1990,26,8.512589073634205,3.855,796,0.9245226130653266,1.9333504397181713
1991,26,8.615494296577946,3.9046153846153846,796,0.9088065326633167,1.9701694101426084
1992,26,8.2340930674264,3.738846153846154,814,0.8094963144963144,1.9819846966172003
1993,28,9.195240193918025,4.182142857142857,878,0.8729384965831436,1.9744989459184539
1994,28,9.845,4.5060714285714285,772,0.8533549222797927,1.557021838275075
1995,28,9.694595934556272,4.4475,874,0.8206979405034325,1.796267567917238
1996,28,10.071018967798853,4.606071428571428,888,0.9163175675675675,2.1969264833956688
1997,28,9.533980582524272,4.385357142857143,885,0.9581129943502824,2.061301523096096
1998,30,9.579358552631579,4.426333333333334,899,1.0449276974416017,2.1064272918253013
1999,30,10.169275123558485,4.7013333333333325,924,0.9242532467532468,2.1235078974700876
2000,30,10.280362289007822,4.762333333333332,933,0.8980278670953911,2.1381435158804383
2001,30,9.550843968711403,4.413,951,0.920820189274448,2.1703419959105563
2002,30,9.236603462489695,4.272000000000001,957,0.878380355276907,2.014867487765349
2003,30,9.4559670781893,4.395666666666667,946,0.9216173361522199,2.0576205566140535
2004,30,9.627677100494234,4.458333333333333,970,0.9065773195876289,2.0857915412774677
2005,30,9.183463595228302,4.284666666666666,918,1.0541721132897603,2.047109172951619
2006,30,9.715520790448744,4.5216666666666665,943,1.0816118769883352,2.1195249312348987
2007,30,9.593582887700535,4.462666666666667,975,1.0464102564102564,2.0860319256824824
2008,30,9.30189456342669,4.316666666666666,993,0.9355891238670695,2.003512761991357
2009,30,9.225925925925926,4.313999999999999,974,1.0369096509240248,2.084825120777115
2010,30,8.768724279835391,4.073333333333332,964,1.0418360995850622,2.0387975326480077
2011,30,8.566488266776451,3.936666666666667,977,1.0166530194472876,2.1392669466502587
2012,30,8.648971193415639,4.009333333333333,1012,0.9882509881422926,2.0502297775374587
2013,30,8.331962155491567,3.8633333333333337,1007,1.0669513406156903,2.103626647053731
2014,30,8.132098765432099,3.738,986,1.171916835699797,2.1999234590239696
2015,30,8.500205846027171,3.956333333333333,1018,1.0567976424361494,2.057548101284548
2016,30,8.955518945634267,4.184333333333334,1015,0.9917438423645321,2.0103142848973006
2017,30,9.293004115226337,4.352666666666667,1032,0.9169186046511628,1.9295881875124987
2018,30,8.897573015220074,4.148,1040,0.9503750000000001,1.9526635282166083
2019,30,9.661177439275422,4.497000000000001,1070,0.8275607476635514,1.9480244804848312
2020,30,9.291759465478842,4.447666666666667,737,0.49187245590230666,0.7833583429650885
2021,30,9.06134211609716,4.263333333333334,1093,0.8604574565416285,1.965084646013945
2022,30,8.566666666666666,3.9650000000000003,1092,0.7893406593406593,1.9537270606159096
2023,30,9.231275720164609,4.3293333333333335,1091,0.7766452795600366,1.8317457261450434
2024,30,8.786743515850144,4.080333333333333,1067,0.7929240862230552,1.8522913847871358
2025,30,8.894650205761318,4.159999999999999,1078,0.7929962894248608,1.8675228559356685
