year,player_id,player_name,team_name,start_year,end_year,sb_attempts,catcher_stealing_runs,caught_stealing_above_average,n_cs,rate_cs,est_cs_pct,cs_aa_per_throw,seasonal_runner_speed,runner_distance_from_second,pop_time,exchange_time,arm_strength,n_xcs_with_flight_over_xcs,n_xcs_with_exchange_over_xcs,n_xcs_with_accuracy_over_xcs,n_xcs_with_ground_other_over_xcs,n_xcs_with_onfly_other_over_xcs,n_xcs_with_untracked_other_over_xcs
2017,518595,"d'Arnaud, Travis",LAA,2026,2026,4,0.019627886251226,0.0301967480788092,1,0.25,0.2424508129802976,0.0075491870197023,28.55,55.542818347168655,1.867,0.70775,79.014485,-0.08021200736677,-0.2138880822453977,0.2637361231808648,-0.2178924854969309,0.2784532000070432,0.0
2017,521692,"Perez, Salvador",KC,2026,2026,6,0.933786505703702,1.4365946241595418,3,0.5,0.2605675626400763,0.2394324373599236,28.816666667,54.27839422132003,1.8658,0.6328,77.832722,-0.1008625659066012,0.5016920010824564,0.2210307496097552,0.0,0.8149195919477211,-0.0001851525737896
2017,543309,"Higashioka, Kyle",TEX,2026,2026,9,-0.6567232226038915,-1.010343419390602,1,0.1111111111111111,0.2233714910434002,-0.1122603799322891,28.144444444,57.0835832767192,2.137,0.7726,73.677264,-0.5623795764553348,-0.9260537178815432,0.1322623096391402,0.593453894331952,-0.247626329024816,0.0
2017,543510,"McCann, James",AZ,2026,2026,10,-0.2382022897141436,-0.3664650610986821,1,0.1,0.1366465061098682,-0.0366465061098682,28.42,52.96925125046079,1.96225,0.661625,76.89056125,-0.3467552303091812,0.1419064809398599,0.3494265844683997,-0.564815592035066,0.0537726958373053,0.0
2017,543877,"Vázquez, Christian",HOU,2026,2026,6,0.5790316883267794,0.8908179820411991,3,0.5,0.3515303363264668,0.1484696636735331,28.083333333,58.30755717563875,2.02375,0.64925,75.6339625,-0.2986637137261925,-0.5661718444886596,0.6232329726512775,-0.0608925025685136,1.1933130701732877,0.0
2017,592663,"Realmuto, J.T.",PHI,2026,2026,10,1.0966095569632028,1.6870916260972348,3,0.3,0.1312908373902765,0.1687091626097235,28.92,54.35982717727076,1.8415,0.591,79.43030125,0.1822738903014914,0.8486927297200059,0.1227496430007421,0.40965979189331,0.1237155711816857,0.0
2017,595978,"Hedges, Austin",CLE,2026,2026,3,-0.1585829011306276,-0.2439736940471194,0,0.0,0.0813245646823731,-0.0813245646823731,29.566666667,50.42301851477021,1.974,0.632,80.01941,0.0090532541373085,-0.0601170660332009,0.0321108306591302,-0.2247648620121068,0.0,-0.0002558507982504
2017,605170,"Caratini, Victor",MIN,2026,2026,7,-0.408650406458412,-0.6286929330129416,1,0.1428571428571428,0.2326704190018487,-0.0898132761447059,28.414285714,57.0193435418477,2.0576,0.6928,75.781152,-0.597420223230952,-0.4665711160236078,0.7028728529540862,0.0,-0.2675744467124678,0.0
2017,608348,"Kelly, Carson",CHC,2026,2026,12,-0.3600060601441048,-0.5538554771447769,2,0.1666666666666666,0.2128212897620647,-0.046154623095398,29.083333333,56.03871474952109,1.846333333,0.5605,79.203760833,0.0685245942570926,1.753093753323005,-0.3124010594216683,-0.5234362858987214,-1.5396364794044848,0.0
2017,623168,"Heineman, Tyler",TOR,2026,2026,5,0.2083849025877561,0.3205921578273171,1,0.2,0.1358815684345365,0.0641184315654634,28.36,51.96578817500932,1.746333333,0.522,73.082343333,-0.385879983469071,0.5083798929453103,0.5076129953984956,0.0,-0.3095207470474176,0.0
2017,624512,"McGuire, Reese",CWS,2026,2026,9,-1.1025156931459834,-1.696177989455359,0,0.0,0.1884642210505954,-0.1884642210505954,28.755555556,55.73314410793251,1.971166667,0.505166667,76.736588333,-0.4527371012419489,0.4528521394185747,0.2865284319430461,-0.0034854242287234,-1.979336035346308,0.0
2017,641555,"Escarra, J.C.",NYY,2026,2026,3,-0.4575782750859385,-0.7039665770552901,0,0.0,0.2346555256850967,-0.2346555256850967,29.033333333,57.95152849520981,1.934,0.632666667,79.361276667,-0.0201489831185788,0.1644241362492928,0.0303399563926316,-0.3129461420240357,-0.5656355445546,0.0
2017,641680,"Heim, Jonah",ATL,2026,2026,4,-0.5472131570128632,-0.8418663954044049,0,0.0,0.2104665988511012,-0.2104665988511012,28.1,53.55197273603113,1.763666667,0.687666667,81.476886667,0.073912003134526,-0.3109127956516717,-0.1075617095233114,-0.0234315847761957,-0.4738723085877519,0.0
2017,642851,"Wynns, Austin",ATH,2026,2026,5,-0.4376963757827461,-0.6733790396657633,0,0.0,0.1346758079331526,-0.1346758079331526,28.9,53.83160353536523,1.97775,0.57425,75.3979475,-0.3680959417634718,0.4758880603586888,-0.0154536357182008,0.0,-0.7218159684208125,-0.0439015541219668
2017,643376,"Jansen, Danny",TEX,2026,2026,6,1.113490980333477,1.7130630466668877,3,0.5,0.2144894922221854,0.2855105077778146,28.416666667,55.99002933724491,1.9786,0.6592,76.050932,-0.3275982300992227,0.0555990160412974,0.5307939658637583,2.775557561562892e-17,0.4729542972867342,0.9813139975743204
2017,660688,"Ruiz, Keibert",WSH,2026,2026,10,-0.1019220537145192,-0.1568031595607987,2,0.1999999999999999,0.2156803159560799,-0.0156803159560798,28.39,54.95721985579603,2.03075,0.64425,75.913525,-0.9036754240567846,0.1320755484953096,0.0723275899906893,-0.3792714974753197,0.9217406234853066,0.0
2017,661388,"Contreras, William",MIL,2026,2026,7,1.305383234169182,2.008281898721818,3,0.4285714285714286,0.1416740144683116,0.2868974141031169,29.571428571,54.636592744517046,1.857,0.594166667,78.673005,0.0227202246137555,0.5523781913542027,-0.0528104651927928,1.0491459891153267,0.4368479588313262,0.0
2017,663698,"Bart, Joey",PIT,2026,2026,8,-0.5351277714312965,-0.8232734945096869,1,0.125,0.2279091868137108,-0.1029091868137108,28.025,51.7740807348849,1.806,0.666666667,81.055425,0.2635064118825005,-0.1054483900320826,0.146742598929661,0.0,-1.128074115289766,0.0
2017,663728,"Raleigh, Cal",SEA,2026,2026,6,1.2650664659934752,1.9462561015284228,4,0.6666666666666666,0.3422906497452628,0.3243760169214039,27.95,56.38848395120655,2.0152,0.6932,78.90254,-0.0413103663094284,-0.1751939459741391,0.4203680292255941,0.7712938965660566,0.97109848802034,0.0
2017,663743,"Fortes, Nick",TB,2026,2026,17,-0.9055376895061028,-1.3931349069324657,1,0.0588235294117647,0.1407726415842626,-0.0819491121724979,28.676470588,54.843081107010015,1.9633125,0.63075,79.43423625,-0.0973880827134898,1.5223515762855744,0.1295897197252355,-0.0678099770700079,-2.879878143159777,0.0
2017,663886,"Stephenson, Tyler",CIN,2026,2026,10,0.0993177143204881,0.1527964835699815,2,0.2,0.1847203516430018,0.0152796483569981,28.54,54.73610265160711,1.914714286,0.675571429,79.635654286,0.0752623293650435,-0.4348095950351188,0.4879242392816628,0.0315305758510789,-0.0071110658926852,0.0
2017,664731,"Higgins, P.J.",CIN,2026,2026,3,0.172771584528352,0.2658024377359262,1,0.3333333333333333,0.2447325207546912,0.088600812578642,28.166666667,55.64034024675217,1.864333333,0.643333333,75.826656667,-0.2382432496882225,0.022319802075432,0.7191795476941636,0.0,-0.2374536623454468,0.0
2017,664954,"Sullivan, Brett",COL,2026,2026,8,0.1001696276043019,0.1541071193912337,2,0.25,0.2307366100760958,0.0192633899239042,28.275,57.2533549231974,1.94975,0.72875,81.94615125,0.5135063748504323,-0.582629891898051,0.2984485952912498,0.7161763877686409,-0.7913943466210382,0.0
2017,665804,"Amaya, Miguel",CHC,2026,2026,9,-0.0718608234090573,-0.1105551129370114,2,0.2222222222222222,0.2345061236596679,-0.0122839014374456,28.911111111,57.53294800062017,1.969888889,0.680555556,80.615838889,0.2915470484669432,-0.1279531261620251,0.0938361256691086,-0.0180109475742404,-0.3499742133367975,0.0
2017,665966,"Narváez, Carlos",BOS,2026,2026,6,0.1454053138079967,0.2237004827815334,2,0.3333333333333333,0.2960499195364111,0.0372834137969221,28.183333333,58.61153668291114,2.0774,0.7258,74.659026,-0.61374687561828,-0.2865303835505797,0.3175102748676497,0.7397465510912048,0.0667209159915386,0.0
2017,666023,"Fermin, Freddy",SD,2026,2026,7,0.3700609080418781,0.5693244739105816,3,0.4285714285714286,0.3472393608699169,0.0813320677015116,28.314285714,58.264124517766646,1.891142857,0.632714286,82.427567143,0.7576529983967493,0.6081063400743011,-0.4964619556636845,0.0,-0.2999729088967842,0.0
2017,666310,"Naylor, Bo",CLE,2026,2026,8,0.0977541284786693,0.1503909668902604,2,0.25,0.2312011291387174,0.0187988708612825,28.2,54.00835857472961,1.907333333,0.672166667,80.374813333,0.1517607595008498,-0.1065480489296056,0.311090414769367,-0.0121628976453807,-0.0914487321053105,-0.1023005286996594
2017,668670,"Rogers, Jake",DET,2026,2026,3,-0.0842065010153483,-0.1295484631005358,1,0.3333333333333333,0.3765161543668452,-0.0431828210335119,27.9,60.14502567432043,1.993,0.599,76.14334,-0.088162529584286,-0.4349066892228015,0.0815259042223049,0.3119948514842467,0.0,0.0
2017,668939,"Rutschman, Adley",BAL,2026,2026,9,0.4400379702026842,0.676981492619514,3,0.3333333333333333,0.2581131674867206,0.0752201658466127,28.611111111,57.97589048637903,2.0795,0.68675,80.69277625,0.3007405220178167,0.0151982306252244,-1.728611354233147,2.071169510166579,0.0184845840430407,0.0
2017,669127,"Langeliers, Shea",ATH,2026,2026,10,-0.0299445434730357,-0.046068528420055,3,0.3,0.3046068528420055,-0.0046068528420055,28.35,57.31599885766633,1.8821,0.6494,84.61658,1.014643013923757,0.4113895439086145,0.0455701407923396,-0.7724408827955426,-0.7452303442492236,0.0
2017,669134,"Campusano, Luis",SD,2026,2026,6,0.0469354103572255,0.0722083236265009,1,0.1666666666666666,0.1546319460622498,0.0120347206044168,27.883333333,52.72702052770626,1.93325,0.67475,80.2637075,0.0625114871447261,-0.1996925346299203,-0.1281002527244066,-0.0886867017339448,0.4261763255700465,0.0
2017,669224,"Wells, Austin",NYY,2026,2026,7,-0.9158727482999128,-1.4090349973844811,0,0.0,0.2012907139120687,-0.2012907139120687,27.871428571,55.13846299180281,2.006166667,0.616666667,76.736005,-0.399460484358292,0.5101030699530593,-1.309236789221401,-0.3589856899017597,0.1485448961439121,0.0
2017,669257,"Smith, Will",LAD,2026,2026,8,-0.2372304698214694,-0.3649699535714914,1,0.125,0.1706212441964364,-0.0456212441964364,28.45,53.85092159508935,1.913857143,0.708857143,80.402908571,0.1705519358594696,-0.3855623006971719,0.167338573813537,0.5486926369797918,-0.8659907995271179,0.0
2017,671056,"Herrera, Iván",STL,2026,2026,3,-0.2424387586133225,-0.3729827055589577,0,0.0,0.1243275685196525,-0.1243275685196525,28.466666667,53.16756404289718,1.986666667,0.599333333,76.4885,-0.1114144416049896,0.1639493595172875,-0.1310564997132055,-0.0118505826576413,-0.2826105411004087,0.0
2017,672275,"Bailey, Patrick",SF,2026,2026,12,0.0453845104718022,0.0698223238027726,2,0.1666666666666666,0.1608481396831022,0.0058185269835643,28.316666667,55.30483262782154,1.863,0.588666667,79.862441111,0.0590948681309744,0.1673516642023502,0.7160485253489757,-0.0861675165536652,-0.7865052173258628,0.0
2017,672386,"Kirk, Alejandro",TOR,2026,2026,10,0.122456935609622,0.1883952855532647,2,0.2,0.1811604714446735,0.0188395285553264,28.6,54.833106064306,1.9676,0.6192,78.962726,-0.0636874585364206,-0.2223763780818658,0.3334411349532607,0.4796619360370979,-0.334866549850497,-0.0037773989683105
2017,672515,"Moreno, Gabriel",AZ,2026,2026,3,0.9391667116650824,1.4448718641001266,2,0.6666666666666667,0.1850427119666244,0.4816239547000422,28.333333333,55.04553162826828,1.885333333,0.621666667,80.409636667,0.0975502589181259,0.3079664744200988,0.7601554707055114,0.0,0.2791996600563905,0.0
2017,673237,"Diaz, Yainer",HOU,2026,2026,7,-0.4587642430177789,-0.7057911431042753,0,0.0,0.1008273061577536,-0.1008273061577536,29.014285714,54.55798070977536,1.9976,0.7196,83.308422,0.2457579951762238,-0.3981480878699418,-0.0094913839438708,-0.0493714750184389,-0.4945381914482475,0.0
2017,676439,"Feduccia, Hunter",TB,2026,2026,4,-0.1117192538845684,-0.1718757752070283,1,0.25,0.2929689438017571,-0.0429689438017571,27.325,55.78146200988407,1.989666667,0.699333333,81.027733333,0.2168409927791793,-0.3015050613367847,-0.0370016322037912,0.0,-0.0502100744456316,0.0
2017,678218,"Valenzuela, Brandon",TOR,2026,2026,6,0.335177247691455,0.5156573041407,2,0.3333333333333333,0.2473904493098833,0.0859428840234499,28.8,57.67679575227295,1.9025,0.60775,81.6161275,0.1353180448747428,0.2784369908454274,-0.6024800900505722,1.1102230246251563e-16,0.704382358471102,0.0
2017,680777,"Jeffers, Ryan",MIN,2026,2026,8,-0.7170152928660605,-1.10310045056317,1,0.125,0.2628875563203963,-0.1378875563203963,28.275,55.296996977810025,1.942,0.699333333,79.293248333,0.0228024965807599,-0.3878306457010462,-0.3199060718012441,0.0295162857354225,-0.4476825153770623,0.0
2017,680779,"Davis, Henry",PIT,2026,2026,6,1.146387979548206,1.763673814689548,3,0.5,0.2060543642184086,0.2939456357815914,28.566666667,56.26673485721223,1.8838,0.6128,86.446278,1.044576475350793,0.5344958742017835,0.2509083310841722,0.458891249957049,-0.5251981159042496,0.0
2017,681351,"O'Hoppe, Logan",LAA,2026,2026,11,-0.3655951101204812,-0.5624540155699711,1,0.0909090909090909,0.1420412741427246,-0.0511321832336337,28.763636364,53.08261642552541,1.988444444,0.698666667,81.544871111,0.3534821758197636,-0.1948477843881051,-0.2377255041135907,0.6341763046230386,-1.1175392075110773,0.0
2017,681807,"Fry, David",CLE,2026,2026,4,-0.3401610574421804,-0.5233247037572005,0,0.0,0.1308311759393001,-0.1308311759393001,27.75,51.52339473206895,1.8955,0.6495,80.953015,0.0645202274482415,0.0083415316007534,0.0753579243436852,0.0,-0.6715443871498809,0.0
2017,682626,"Alvarez, Francisco",NYM,2026,2026,5,0.2892657412783258,0.4450242173512704,1,0.2,0.1109951565297459,0.0890048434702541,27.26,51.91028351865808,1.978,0.7325,83.34255,0.1643619430678903,-0.3642070175880724,-0.0690292254877243,0.0,0.713898517359177,0.0
2017,682663,"Ramírez, Agustín",MIA,2026,2026,12,-0.0218707281077891,-0.0336472740119832,2,0.1666666666666666,0.1694706061676653,-0.0028039395009985,28.333333333,53.86409972427885,2.004142857,0.770857143,81.305574286,0.2551640231393193,-1.0924436768922088,0.0931099995860035,-0.0542123364271089,0.7647347165820114,0.0
2017,686452,"Millas, Drew",WSH,2026,2026,6,-0.7579002143091047,-1.1660003297063148,0,0.0,0.1943333882843858,-0.1943333882843858,29.3,55.165042694442654,1.941,0.666333333,84.016793333,0.1772872606045542,-0.8136957096801621,-0.3458479616422287,-0.0300415523595314,-0.1537023666289466,0.0
2017,686780,"Pagés, Pedro",STL,2026,2026,9,1.2953549308295556,1.992853739737778,4,0.4444444444444444,0.2230162511402469,0.2214281933041975,28.188888889,56.54767634517108,1.920285714,0.623,80.769538571,0.2976204169311957,0.3976303851097119,0.8388334588623831,0.3647790438958678,0.0939904349386192,0.0
2017,686948,"Baldwin, Drake",ATL,2026,2026,8,-0.5469444489024909,-0.8414529983115245,1,0.125,0.2301816247889405,-0.1051816247889405,28.2875,57.037916583977925,1.912571429,0.608714286,76.975037143,-0.3262795336281019,0.4370292816516548,-0.4945989769992855,-0.3834244418602335,-0.0741793274755584,0.0
2017,687221,"Rushing, Dalton",LAD,2026,2026,6,-0.0881039335333132,-0.1355445131281742,1,0.1666666666666666,0.1892574188546957,-0.022590752188029,28.616666667,55.6026435957514,1.9335,0.622333333,79.521451667,0.0115359974905681,0.3826690912663143,-0.262468095977969,0.4386365258704382,-0.7059180317775259,0.0
2017,689414,"Hicks, Liam",MIA,2026,2026,9,-0.5629574483746506,-0.8660883821148471,0,0.0,0.0962320424572052,-0.0962320424572052,28.577777778,51.330103545739945,1.905,0.695777778,78.788218889,-0.1549229792399363,-0.2877582004470427,0.2023825855987381,0.0019321904792311,-0.6277219785058372,0.0
2017,693307,"Dingler, Dillon",DET,2026,2026,8,0.7204095065979638,1.108322317843021,2,0.25,0.1114597102696223,0.1385402897303776,28.725,53.51858696621937,1.888,0.641,85.27891,0.8205448149444745,0.0774217576485162,0.3423219105804309,0.5845152921934335,-0.7164814575238341,0.0
2017,694212,"Basallo, Samuel",BAL,2026,2026,5,0.2195069372621047,0.337702980403238,2,0.4,0.3324594039193524,0.0675405960806476,27.42,56.41181290346763,1.9804,0.7134,83.12051,0.5591734247916913,-0.4397054937336065,-0.5585242369601531,0.4331723901294663,0.3435868961758401,0.0
2017,695600,"Jensen, Carter",KC,2026,2026,4,0.2435519753961667,0.3746953467633334,1,0.25,0.1563261633091666,0.0936738366908333,29.175,57.39496100589714,1.889,0.610333333,82.927433333,0.2553268836703961,0.330100387313322,-0.1745122869555101,1.3877787807814457e-17,-0.0362196372648745,0.0
2017,696100,"Goodman, Hunter",COL,2026,2026,6,-0.2229333535024059,-0.3429743900037014,1,0.1666666666666666,0.2238290650006169,-0.0571623983339502,28.366666667,54.3516704118361,1.937,0.72425,81.4327375,0.1694663405028844,-0.3593003563974027,-0.7827509208756305,0.0,0.6296105467664473,0.0
2017,700337,"Quero, Edgar",CWS,2026,2026,10,0.6646257991518062,1.022501229464317,3,0.3,0.1977498770535683,0.1022501229464317,28.87,55.23346946544037,1.9778,0.5928,76.855208,-0.3820385619798864,0.6820669936918401,-0.6474291377306997,0.5960950897542148,0.7738068457288482,0.0
